,names,scores,logfoldchanges,pvals,pvals_adj
74,IKZF3,4.541488,4.51954,1.8042720538720317e-05,6.734692762964638e-05
75,ENPP3,4.5361776,4.878264,1.8418567059754844e-05,6.866615994947545e-05
76,NBAS,4.535252,1.7084457,1.825188223569106e-05,6.809209510475976e-05
77,GALC,4.476875,2.4912357,2.296511937838912e-05,8.434047267514579e-05
78,RIPOR2,4.4504457,2.0151327,2.517557529123045e-05,9.204859958144004e-05
79,ZBTB20,4.4416437,1.154914,2.5763218762627514e-05,9.411694431785084e-05
80,DLC1,4.4247994,2.0978138,2.781896159092503e-05,0.00010112727790401701
81,CTTNBP2,4.419575,1.8518437,2.8344780911162352e-05,0.00010289918433366607
82,TRERF1,4.3952103,2.1064293,3.115055639954697e-05,0.00011239988750326187
83,ABCC4,4.3734345,2.0082784,3.3792829008963965e-05,0.00012130120945233065
84,RAPGEF2,4.3607187,1.3743515,3.5137690576235884e-05,0.00012587581635763488
85,LMO4,4.360191,2.3582835,3.563502783396536e-05,0.00012752962898390408
86,TMEM233,4.3538637,5.723839,3.6716105472084515e-05,0.00013109226868854152
87,BMPR1A,4.305781,2.2567608,4.360886991590358e-05,0.00015436589740452895
88,ZNRF1,4.3046007,2.8879285,4.3921249650415576e-05,0.0001554118426042514
89,RAB44,4.273083,6.9877815,4.9588760830146606e-05,0.00017376860550593503
90,MAST4,4.2637305,2.4409745,5.102086620604934e-05,0.0001784135515475414
91,TMEM154,4.2576814,3.090847,5.2283955391710454e-05,0.00018257240505126834
92,MAGI2,4.21886,2.3369005,6.0165910551904375e-05,0.00020792873261483278
93,ST8SIA6,4.2068157,4.5868464,6.32326776412791e-05,0.00021758047807117926
94,ALS2,4.151094,2.3474374,7.713256906023514e-05,0.0002616309413046002
95,VPS37B,4.1469817,2.282597,7.82978627553368e-05,0.0002652060288936096
96,MTCL1,4.094625,4.4930825,9.509297507805773e-05,0.0003173811295834817
97,HPGD,4.0818243,3.1053798,9.937323065552369e-05,0.0003305863416346649
98,NDEL1,4.074961,1.9216795,0.00010135668375693616,0.0003365060731512214
99,PLPP1,4.068392,2.1391318,0.00010384792548027285,0.00034413767794760794
100,PPM1H,4.056252,2.418298,0.0001087288349871387,0.00035920214719830566
101,HIPK2,4.047167,1.4314233,0.00011146745524833115,0.00036757006156315746
102,ANKRD44,4.044231,1.2584989,0.00011243849337170299,0.00037043033520706695
103,WNK3,4.035803,5.174036,0.00011751755283374531,0.0003863660419703423
104,AP1S3,4.025874,3.2647922,0.00012152496096502733,0.00039852902017648657
105,AC098617.1,3.9629478,4.154007,0.00015223254228418105,0.000491267815913014
106,PIK3R6,3.9543557,2.4521122,0.0001563797607335274,0.000503621940620051
107,SLC26A2,3.9300644,2.8605282,0.000170628467753329,0.0005462760320248413
108,EDARADD,3.92099,4.508926,0.00017654598757378974,0.000564042335746774
109,JAKMIP2,3.918792,3.441885,0.0001776525984572552,0.0005670709022502799
110,AL078590.2,3.9049985,3.3675475,0.00018654147128574334,0.0005925337446676758
111,DOCK10,3.9032722,1.2281852,0.0001853288392100342,0.0005892055786538136
112,TTC39B,3.8545382,2.2277098,0.0002219983422345244,0.0006963525993644394
113,STAP1,3.841546,5.7179046,0.0002332261048575229,0.0007282033477817008
114,PZP,3.8414073,4.9210477,0.00023326970347816266,0.0007282282481754218
115,HS6ST1,3.8334177,2.6960092,0.00023921397258522918,0.0007454882180086695
116,FYN,3.8300805,1.7814656,0.0002408668594600989,0.0007502031858042645
117,RGS2,3.8065774,2.046246,0.00026163873238125706,0.000809958275903519
118,BNC2,3.765048,1.2620722,0.0003001477123028783,0.0009200067956865242
119,TMOD1,3.722386,2.8509214,0.0003507210583072145,0.0010643733900849005
120,DENND1B,3.7206945,1.3609973,0.00035035215167894426,0.0010634043228030122
121,ZNF521,3.7022357,2.4847689,0.00037531485341900947,0.001130531214597168
122,COBLL1,3.6129322,2.0775478,0.0005068085451340859,0.0014938834971622455
123,CCDC92,3.6064568,2.3125544,0.0005182205185142324,0.0015245878445629304
124,RYR3,3.6034584,2.6984403,0.0005237701788960255,0.0015394363646171012
125,RGS1,3.588287,1.5739996,0.0005480472128502764,0.001603756063368085
126,MLPH,3.586813,3.5209088,0.0005544620543804242,0.0016212004764294815
127,TCTEX1D1,3.5777216,4.311209,0.0005718359627042858,0.0016697236361969913
128,TRIO,3.5718458,0.9758131,0.0005769324084073164,0.0016830007571604533
129,NRCAM,3.569695,5.3272905,0.0005875023163899115,0.0017107554815066406
130,TMEM44,3.5691612,3.1752596,0.0005878221411273158,0.0017112758612997773
131,NMT2,3.5550606,2.9197886,0.0006157481338568517,0.0017855494953236404
132,SLC44A1,3.5519512,1.6802967,0.000620097039890883,0.0017971835279659543
133,ADAMTS3,3.534414,4.100367,0.0006599909765227415,0.0019030316660688005
134,AC093523.1,3.5278587,6.528435,0.000674846494254973,0.0019432534205456747
135,ALOX5,3.5023248,1.2142326,0.0007282349139083162,0.002084670870891728
136,AFF2,3.4978561,4.9405913,0.0007445486182064805,0.002128529605228605
