,names,scores,logfoldchanges,pvals,pvals_adj
207,ZNF521,13.113557,2.3714516,2.2019904420647827e-38,9.44389660792744e-37
208,SYNPO2,13.077541,2.4002004,3.6618379701722784e-38,1.5580248696899673e-36
209,MFAP5,13.069248,2.8961816,5.00614589395251e-38,2.117392357986541e-36
210,PODN,13.040787,4.060175,9.693250659487297e-38,4.051892147018433e-36
211,DNM1,13.039092,1.346847,4.4006128149352824e-38,1.8649553597524148e-36
212,TANC1,13.022896,2.1028259,6.946660139824525e-38,2.9208662752626883e-36
213,VIT,13.002697,5.3963223,1.9169220386245736e-37,7.859746882651119e-36
214,AC004160.1,12.977892,3.1511962,1.7970033349111095e-37,7.382172320657821e-36
215,MAT2A,12.899756,1.1814702,2.4034276326207257e-37,9.798308394281149e-36
216,AGAP1,12.894154,1.2847252,2.4328177285847867e-37,9.899306142651264e-36
217,ZEB1,12.884096,1.604432,2.9819461608834045e-37,1.206627902127896e-35
218,DAAM1,12.875017,1.2070104,3.166592720330895e-37,1.2788025290918213e-35
219,COL4A2,12.868395,2.2305934,4.911884263406265e-37,1.9578149840982147e-35
220,DENND2A,12.868316,2.6345308,5.798326428594109e-37,2.302579850643927e-35
221,FGL2,12.867021,1.2686368,3.520234392260306e-37,1.4162834204058163e-35
222,LINC01117,12.832639,3.5336485,1.1216106527274405e-36,4.373057970379497e-35
223,THSD4,12.831255,2.5643294,8.787549822594206e-37,3.444976570305487e-35
224,UST,12.823113,1.2840285,6.187495781701859e-37,2.4525815072608995e-35
225,BACH2,12.810173,2.0688252,9.082900622776342e-37,3.554264980927297e-35
226,MECOM,12.807712,2.0142505,9.559644416678773e-37,3.734007556853545e-35
227,RBPJ,12.793218,0.9881556,6.991273192704056e-37,2.7609735238369387e-35
228,THSD7A,12.760575,2.841934,2.380196050133571e-36,9.180022319975593e-35
229,NRG3,12.746258,3.337859,3.325691711782153e-36,1.2667163955143248e-34
230,MAMDC2-AS1,12.746074,2.4232895,2.481164808391807e-36,9.535143037841202e-35
231,EFNA5,12.709395,2.2925363,3.228533838366163e-36,1.231898214055587e-34
232,TUBB6,12.679295,1.3043946,3.724123033325272e-36,1.4134529969314537e-34
