,names,scores,logfoldchanges,pvals,pvals_adj
124,SLC8A1,8.688689,2.1911333,8.531964992181889e-15,8.237706316629826e-14
125,AL033504.1,8.687366,4.628958,9.41010136466226e-15,9.057011385270084e-14
126,AC079793.1,8.678672,4.8506093,9.906982683796579e-15,9.518160245131445e-14
127,RBMS3-AS2,8.628282,3.1282573,1.2860019854282937e-14,1.2202224148462092e-13
128,GNA14-AS1,8.569959,5.258751,1.8416085852760898e-14,1.722261426195398e-13
129,CPED1,8.497678,2.4468489,2.617061380578675e-14,2.4168933783432e-13
130,LIN7A,8.477011,3.2636597,3.03704091966048e-14,2.789135138381128e-13
131,ADCY5,8.4480095,4.776226,3.6594663698167276e-14,3.33930199295106e-13
132,RBPMS,8.440062,1.5619376,3.353071807920025e-14,3.0727893952579927e-13
133,QSOX1,8.409713,2.8241336,4.3963657617302194e-14,3.984601326903754e-13
134,STEAP4,8.3529,4.4378138,6.235441889369348e-14,5.585330654788483e-13
135,P3H2,8.333214,4.5595117,6.983048617735763e-14,6.23675529190861e-13
136,ECM1,8.319432,3.751211,7.489755118645213e-14,6.669863320773586e-13
137,PARD3,8.266078,1.1534773,8.370060565294426e-14,7.429121637507188e-13
138,CALCRL,8.210129,2.5222352,1.3330578578424248e-13,1.1672557249315215e-12
139,MICALL2,8.175428,3.230953,1.664664907445899e-13,1.4499217820986943e-12
140,PACS1,8.158844,2.1702864,1.7556935345677057e-13,1.5279664024054335e-12
141,ATRNL1,8.149028,3.2318635,1.9197133485816494e-13,1.6659786745036379e-12
142,ESRRG,8.1089735,3.9495661,2.435885448111153e-13,2.0977962871203036e-12
143,UNC5C,8.078683,1.9236794,2.683647004305629e-13,2.30746296553047e-12
144,MYH9,8.06588,2.268523,2.969028671115104e-13,2.5426457996562417e-12
145,PTGIR,8.035046,4.379078,3.6998950814954746e-13,3.1482178273470467e-12
146,CALM2,8.023627,2.5770442,3.825772878295197e-13,3.2529688184838308e-12
147,AC098588.3,8.016051,3.5901108,4.073372566694585e-13,3.4580127205145954e-12
148,LINC01197,7.907439,3.714636,7.450137764417326e-13,6.1922772953552375e-12
