,names,scores,logfoldchanges,pvals,pvals_adj
120,PRKG1,28.482851,1.3856823,1.0706148932471423e-158,1.147913288539586e-156
121,NPAS2,28.41603,3.4510167,7.501664695049448e-148,7.246202600028845e-146
122,SERPINH1,28.39216,3.8984282,3.2537874388489076e-147,3.1010763483855986e-145
123,HLA-A,28.344824,2.843103,1.617747885941406e-148,1.5697278581958149e-146
124,SEC31A,28.306042,1.5615466,2.0058206431359978e-154,2.088000867544094e-152
125,TCF4,28.278633,1.4200746,5.57619971854395e-156,5.8615699394341394e-154
126,PKM,28.171576,2.9980276,1.112677839037301e-146,1.0419329074373748e-144
127,ITGB1,28.1535,1.9940766,1.1611741272923062e-149,1.1318280902571005e-147
128,NCOR2,28.07691,1.8251326,3.266443025207853e-150,3.227908029150101e-148
129,POT1-AS1,28.059877,3.8341625,2.2516333116203575e-144,2.0546393503994445e-142
130,HS2ST1,27.984034,2.4924037,4.9279443573284975e-146,4.554949948213461e-144
131,RRBP1,27.873701,2.038604,2.21050018143113e-147,2.1161591915450513e-145
132,FBXO32,27.800047,3.890417,5.268347773123046e-142,4.649154306454757e-140
133,KALRN,27.77278,2.6758778,6.02521972674533e-144,5.474780161878257e-142
134,NFAT5,27.739058,1.4377826,5.748447745654287e-150,5.654574011826171e-148
135,ANKRD10,27.669493,1.7211003,5.187079637857561e-147,4.9217582192131655e-145
136,COL6A2,27.634748,1.7258389,1.164617474160104e-146,1.0858285702560552e-144
137,PDGFC,27.605457,2.2976382,3.0650708200742142e-143,2.73864077773631e-141
138,SPATA13,27.546244,2.3205721,8.248241440974012e-143,7.30889625868788e-141
139,ARHGAP42,27.54445,2.2103927,1.2463202387776129e-143,1.1229450084179467e-141
140,P4HB,27.48453,2.946442,8.880400657560696e-141,7.678681923416595e-139
141,HSP90B1,27.465971,2.5920167,3.2202247883741184e-141,2.8070935106461217e-139
142,MACF1,27.400267,1.1740565,1.0619023100422262e-149,1.039791467422169e-147
143,HNRNPH1,27.370302,1.6110926,4.016254278959344e-145,3.6963329080688485e-143
144,FKBP10,27.33488,2.8702753,7.822309072138847e-140,6.736610270801021e-138
145,HP1BP3,27.227175,1.658736,1.0325062203662926e-143,9.34222083946615e-142
146,COL18A1,27.211254,2.5058908,2.475028728831617e-139,2.0895478764198895e-137
147,MT-ATP8,27.046347,3.4585764,5.259274629398007e-136,4.3544357201857473e-134
148,ENAH,27.034843,2.0149298,1.4156813722123678e-139,1.2046774343540482e-137
149,GUCY1A1,26.848396,3.2817116,1.234272363036008e-134,9.876021101844834e-133
150,RARRES2,26.817247,3.119153,1.0463028479245571e-134,8.40334017636487e-133
151,GTF2I,26.79216,1.6237941,1.1337704872981337e-139,9.725029731848472e-138
152,BMPR2,26.776613,1.5787885,2.4355803671457583e-139,2.0643709641531082e-137
153,TSC22D1,26.774927,2.023029,3.554267856531284e-137,2.9772546841975335e-135
154,FRY,26.751965,2.6643443,9.433969981751905e-135,7.634039709007088e-133
155,CERS6,26.738813,2.4055042,1.2003641632931631e-135,9.862302343930495e-134
156,EMILIN1,26.662918,3.5710704,8.41729040260329e-133,6.516259039473825e-131
157,ABCA1,26.599434,2.007315,1.1543006200863493e-135,9.520316345050644e-134
158,HLA-C,26.543818,3.1798255,3.3377737821880125e-132,2.5562578923299908e-130
159,PTK7,26.511223,3.0999708,2.926632952235493e-132,2.2494163809225056e-130
160,MAP4K4,26.474297,1.613463,1.813729001777095e-136,1.5075040586863577e-134
161,SEC24D,26.423164,1.6768583,1.348662684478749e-135,1.10384437427337e-133
162,CTIF,26.359627,1.9449592,1.325623020027388e-133,1.0412695985885461e-131
163,ITGAV,26.3568,1.8140721,4.045310204885061e-134,3.212875260502046e-132
164,CASC15,26.342796,1.9770256,4.008505071807698e-133,3.137167254008915e-131
165,PARVA,26.340645,1.7142651,1.0052733026735042e-134,8.10416567764309e-133
166,COL6A3,26.292965,1.690065,5.440953573275528e-134,4.2895517803426624e-132
167,FAT1,26.253038,2.5219193,3.653883906711258e-131,2.7686885687461557e-129
168,CFI,26.195866,4.0666986,1.6477942956175717e-128,1.2142715077396292e-126
169,FN1,26.190456,1.8724732,4.534151707252172e-132,3.460154776167814e-130
170,FCHSD2,26.17448,1.7394478,6.579270119917909e-133,5.11180682795361e-131
171,GLI2,26.171711,2.1170576,2.315870026680025e-131,1.761046696883917e-129
172,BICC1,25.998644,1.206802,5.1502421358846046e-135,4.199307694369181e-133
173,FLNA,25.995827,2.1188154,6.616578343705257e-130,4.926593958417206e-128
174,MYLK,25.95483,2.4654322,1.479931442038703e-128,1.0943327532095843e-126
175,TMEM87B,25.9478,2.5846264,2.433752042361805e-128,1.7873074930276214e-126
176,FRMD4A,25.933458,1.9698282,1.2878197966016196e-129,9.55571201326129e-128
177,TRIO,25.899162,1.1582772,7.426049236413702e-135,6.031977266123311e-133
178,GGT5,25.893175,2.8710647,2.857408564182697e-127,2.0424756416777918e-125
179,TSHZ2,25.890974,1.3836095,1.7491672238507408e-132,1.3492497103688953e-130
180,MYH10,25.885227,2.4407504,3.9353450872591124e-128,2.8801890802452015e-126
181,KLHL5,25.88021,2.7012742,1.6495410435822762e-127,1.1870053066637023e-125
182,PLXNB2,25.867847,3.1490564,7.708575191623187e-127,5.473598887720782e-125
183,MIR181A1HG,25.82072,3.4919693,8.15618570768252e-126,5.697109000506318e-124
184,DUXAP8,25.808607,3.619741,1.2961805236787425e-125,9.024446477197064e-124
185,ENOX1,25.745607,2.5365012,1.4689286794909291e-126,1.036174559309325e-124
186,SOX6,25.717083,2.9812987,1.813580301453961e-125,1.246487691807011e-123
187,KIRREL1,25.70938,2.1064446,1.6107415664120852e-127,1.1629879511831904e-125
188,P4HA1,25.68343,2.1585736,5.897504752980488e-127,4.2015312931200526e-125
189,EML4,25.641212,2.1208436,9.364323608838108e-127,6.627345064947999e-125
190,PAPPA,25.629602,2.4669836,1.4885300999543186e-125,1.0296786923684002e-123
191,RBMX,25.60553,1.7143484,4.224614724072181e-128,3.081382249762036e-126
192,CD63,25.586504,2.4257307,1.5668430954179217e-125,1.0803660237344668e-123
193,RBM6,25.582674,1.3768629,6.181129104747994e-130,4.618401830042369e-128
194,TMEM165,25.523016,1.5461365,6.372608544707983e-128,4.632346360431118e-126
195,MSC-AS1,25.492912,1.5992558,2.1143427255340604e-127,1.5163868028880398e-125
196,LAMA4,25.401173,1.4742465,1.2641492872018457e-127,9.158249092823102e-126
197,PABPC1,25.339832,1.7612569,2.1854764404645857e-125,1.497295744067814e-123
198,LUM,25.253607,3.0131478,1.3222103327780241e-121,8.591963144270289e-120
199,FAM168A,25.233227,2.1206772,2.4705798981261054e-123,1.6453141408514348e-121
200,RAI1,25.214897,2.8942475,1.1418149118167636e-121,7.464963100304475e-120
201,RNF213,25.194935,1.6638869,1.35420773563685e-124,9.160766776970539e-123
202,PVT1,25.181324,2.0606892,7.048027662327249e-123,4.650397082798323e-121
203,SOX4,25.17608,3.7713199,2.0764487925173438e-120,1.3291751613952812e-118
204,ZSWIM6,25.15593,1.4338752,1.3332996900700212e-125,9.252840955942244e-124
205,PDLIM7,25.15516,2.8476982,4.114540203660939e-121,2.657596389376662e-119
206,TRA2A,25.133524,1.4748172,4.633831268304148e-125,3.1545358005560044e-123
207,AVIL,25.132393,3.83752,6.026144270997188e-120,3.8007246396254024e-118
208,CACNA1C,25.12836,1.6225755,5.330105086360537e-124,3.571836670997355e-122
209,MYO9B,25.123627,1.9128951,4.652455651806451e-123,3.079236388806714e-121
210,RPL41,25.096342,2.2143235,1.1726942817405298e-121,7.643542911137971e-120
211,TRPS1,25.091393,1.4317594,8.230193280254208e-125,5.585071667777571e-123
212,FAM155A,25.078213,3.1321821,7.804299448393537e-120,4.89343267167693e-118
213,ZNF609,25.048872,1.4428978,1.8810509727072217e-124,1.268467203104832e-122
214,CALU,25.033981,1.7720306,1.0954300300792865e-122,7.205644651846693e-121
215,DCBLD2,25.019152,2.0544937,1.5143110422599993e-121,9.810539574085626e-120
216,LEF1,24.94257,4.442292,5.536509312986031e-118,3.363311776421316e-116
217,ASCC3,24.8966,1.4788435,1.2836256052213722e-122,8.417757638644375e-121
218,RBM3,24.838192,2.5225763,3.3006383581637637e-119,2.063524459255503e-117
219,AEBP2,24.81903,1.822688,1.5745209067419642e-120,1.010898991741757e-118
220,STAT1,24.750483,2.5635176,3.546777244197894e-118,2.1730597492737038e-116
221,MMP14,24.734863,3.6045458,8.664203300811585e-117,5.189809373815744e-115
222,ZMYM4,24.671854,1.5724837,2.1067345915270325e-120,1.3445481125210027e-118
223,ANTXR1,24.669743,1.5426097,3.304850293301827e-120,2.0967221801646268e-118
224,PPIB,24.649038,3.2402267,2.328380327756354e-116,1.3830966135292868e-114
225,GAPDH,24.647802,2.8014777,6.1930989401268286e-117,3.7200227919350054e-115
226,MLXIP,24.645502,1.9963589,1.1181915705277897e-118,6.890373574252277e-117
227,NEAT1,24.62047,0.7974433,4.49948633335699e-123,2.9872131558051795e-121
228,PDGFRB,24.618505,1.9925396,4.90046274317538e-118,2.985384177973092e-116
229,UNC5B,24.588156,4.327052,2.910378151464572e-115,1.7145645351650078e-113
230,CDK6,24.562622,2.0709224,1.3176638072646121e-117,7.959431741685168e-116
231,ASAP1,24.554197,1.3907549,3.961364188713253e-120,2.5058257717630384e-118
232,SH3RF1,24.545815,2.0526223,1.2676916917389052e-117,7.679203569957368e-116
233,CTNND1,24.53904,1.6184956,5.994334348718993e-119,3.715101322945956e-117
234,SPIDR,24.519434,1.3036563,1.3643647579717194e-120,8.786017378362028e-119
235,CTSB,24.501078,2.873989,1.2431201248154785e-115,7.34365508444714e-114
236,ADAMTS2,24.485575,1.683894,3.7495635657736937e-118,2.2907590058248174e-116
237,GFPT1,24.465096,2.1402256,1.0901274731132937e-116,6.511613797616008e-115
238,ZMYM2,24.402914,1.3960948,6.146852008951078e-119,3.7986482559062505e-117
239,ADAMTS14,24.356743,4.585458,2.686379222874151e-113,1.540286525543136e-111
240,ZEB1,24.340252,1.2825176,5.726608764918453e-119,3.559460821881487e-117
241,CEMIP2,24.317953,2.5682094,1.4648123728448295e-114,8.582359705815443e-113
