,0
ADAMTS6,0.00029584076245615
GPRIN3,0.0002958217207429
MARCO,0.0002948811450829
FMNL3,0.00029464072204185
CC2D2B,0.0002943727713194
PREX1,0.00029322153280385
RNF217,0.00029305826590215
CDK14,0.00029216881059469996
KCND2,0.00029144955922859696
ARHGAP25,0.00029091172761944997
AKAP7,0.00029016323612465
MEG3,0.000289869242008
RNF212,0.0002897035345833516
TMEM108,0.0002889225869796
MEF2C,0.0002874872852054635
BBS9,0.00028747499279525
ENTPD1,0.0002874346473774
MARK1,0.00028721204390900004
SAMD11,0.00028691045046379997
OBSL1,0.0002859035319672
BBX,0.00028539637232315
TCF12,0.0002848552179471
CCDC141,0.0002842611821058
LILRB5,0.00028394163002420003
FAM49A,0.00028341580332125
ADGRL2,0.00028263811499305
RMDN2,0.0002817966851063
TRIM22,0.0002816458570155
NR2F2-AS1,0.00028086722016115
CD209,0.00028079596080745
VCAN-AS1,0.00028077938937355
RGS18,0.00028048181138419997
ELMO1,0.00028022162957904427
ZNF177,0.00028016967703740003
FGR,0.0002781744218482824
STAB1,0.0002780757838575782
MNDA,0.00027737235245815095
CLEC7A,0.00027697321018425
RIMKLB,0.0002767841292416
ARHGEF10,0.00027674987125125004
SKAP1,0.00027639488530895
CTIF,0.00027437789316035
N4BP2L2,0.00027410388332545004
DPYD,0.0002739702279310322
CPQ,0.0002736111410489
TCF4,0.00027297550145392814
PKD2,0.00027204220381185
SLC11A1,0.0002720159931093827
NIBAN1,0.00027182320094560003
SDC2,0.0002713910091469
ITGA1,0.00027107687775885
MMP16,0.0002710251527494581
EBF1,0.00027102193726857317
PHF21A,0.00027091228731394997
ALCAM,0.00027087259128380986
SLC26A10,0.000270785134056
PTPRS,0.00026970054403684996
PRKAG2,0.00026942061248530003
MGAT4D,0.0002687818903209
ANOS1,0.00026873330076245
PLA2G7,0.00026794443649655
CADPS2,0.00026688875222225
FLI1,0.00026653335251456155
C20orf194,0.0002647347269647
KIAA1755,0.00026458453084200935
ARNT,0.00026396499387155
LHFPL6,0.00026336979090985
GPSM3,0.00026322199993330907
TSC22D1,0.00026279062638570345
SPI1,0.00026248437948065003
MCOLN2,0.0002624622453685
SLC1A2,0.00026232203214445
MYO1F,0.00026208226793225
RASGRP2,0.0002617223149673
LDOC1,0.00026152118937865
ZSCAN23,0.00026146552094145
CYP27A1,0.00026120709914745
FDFT1,0.0002611419477462377
PLXDC2,0.0002603240045376463
